x	y
0.127	0.561
15.372	0.559
43.964	0.563
80.285	0.560
92.795	0.560
101.325	0.563
104.724	0.578
106.031	0.586
107.206	0.592
108.017	0.608
109.522	0.609
110.796	0.619
110.839	0.638
111.705	0.641
111.322	0.681
112.450	0.693
113.347	0.714
113.491	0.758
114.125	0.793
115.157	0.832
115.935	0.890
116.570	0.894
116.171	0.927
116.894	0.930
117.137	0.965
117.713	0.967
118.071	1.015
118.563	1.036
119.107	1.055
119.932	1.107
120.702	1.115
121.415	1.124
121.818	1.138
121.952	1.149
123.231	1.145
123.448	1.125
124.032	1.110
124.714	1.097
124.980	1.049
125.385	1.048
125.609	1.044
125.609	1.043
125.609	1.043
125.609	1.042
125.609	1.042
125.648	1.028
126.268	1.025
126.356	1.006
126.850	0.993
126.499	0.971
127.357	0.971
127.325	0.948
127.959	0.948
128.131	0.925
128.985	0.925
128.744	0.904
129.638	0.905
129.110	0.887
130.109	0.882
130.875	0.870
130.961	0.837
131.862	0.824
132.176	0.815
132.718	0.808
133.118	0.790
133.251	0.782
133.838	0.776
134.107	0.767
135.055	0.756
135.595	0.746
136.963	0.735
136.959	0.723
136.814	0.713
138.181	0.705
138.867	0.699
139.173	0.688
140.661	0.677
141.108	0.669
141.378	0.653
141.603	0.648
143.421	0.650
144.732	0.641
146.087	0.627
147.394	0.619
148.483	0.614
149.710	0.613
149.792	0.600
151.469	0.599
152.188	0.592
154.057	0.590
155.464	0.588
156.049	0.582
157.323	0.585
158.222	0.575
158.855	0.571
160.995	0.571
163.550	0.571
167.256	0.566
173.721	0.566
180.445	0.564
189.922	0.562
196.852	0.560
205.026	0.559
213.612	0.558
220.109	0.556
231.635	0.556
237.138	0.556
240.500	0.555
244.337	0.555
249.637	0.555
256.019	0.554
264.343	0.554
271.362	0.553
281.374	0.554
294.952	0.553
306.519	0.553
315.027	0.554
322.753	0.552
329.390	0.553
335.451	0.553
339.368	0.556
342.474	0.559
342.691	0.571
344.495	0.584
345.490	0.586
346.533	0.604
346.668	0.625
348.441	0.640
348.482	0.660
349.248	0.661
349.246	0.674
349.885	0.674
350.053	0.688
350.919	0.688
350.407	0.718
351.363	0.719
351.314	0.739
352.268	0.748
352.852	0.760
353.581	0.764
353.749	0.809
354.203	0.809
354.230	0.823
354.799	0.834
355.481	0.872
357.031	0.872
356.757	0.893
357.152	0.915
358.219	0.943
358.596	0.954
359.040	0.968
360.135	0.974
360.166	1.007
360.477	1.019
361.378	1.025
362.601	1.020
363.682	1.035
364.673	1.023
365.169	1.008
365.801	0.997
366.250	0.981
366.790	0.970
367.247	0.955
367.837	0.941
368.549	0.925
368.818	0.907
369.178	0.891
369.673	0.877
370.751	0.860
371.109	0.841
371.191	0.831
371.776	0.815
372.360	0.805
372.585	0.794
372.989	0.783
373.669	0.773
374.432	0.760
375.292	0.749
375.962	0.739
376.416	0.728
377.143	0.725
377.023	0.707
379.021	0.706
378.765	0.676
380.981	0.675
381.222	0.655
382.852	0.647
382.793	0.635
385.346	0.621
387.689	0.611
389.186	0.605
390.504	0.594
393.320	0.580
395.450	0.582
397.725	0.578
398.775	0.589
400.464	0.566
402.643	0.568
406.100	0.567
410.314	0.557
412.904	0.556
415.298	0.557
418.707	0.554
423.820	0.554
428.989	0.551
436.954	0.552
444.633	0.550
451.906	0.551
459.442	0.549
465.748	0.549
474.128	0.550
480.695	0.550
487.583	0.549
493.148	0.548
499.926	0.548
