   Angel	  Ex=0.000(1s1/2)AK  
   1.000	          37.230000  
   2.000	          36.313000  
   3.000	          34.826000  
   4.000	          32.827000  
   5.000	          30.396000  
   6.000	          27.627000  
   7.000	          24.642000  
   8.000	          21.487000  
   9.000	          18.382000  
  10.000	          15.268000  
  11.000	          12.310000  
  12.000	           9.658400  
  13.000	           7.391700  
  14.000	           5.470100  
  15.000	           3.939400  
  16.000	           2.769100  
  17.000	           1.907200  
  18.000	           1.439200  
  19.000	           1.296400  
  20.000	           1.392600  
  21.000	           1.702300  
  22.000	           2.143300  
  23.000	           2.621200  
  24.000	           3.131700  
  25.000	           3.630300  
  26.000	           4.066900  
  27.000	           4.390500  
  28.000	           4.750100  
  29.000	           4.976700  
  30.000	           5.079500  
  31.000	           5.078300  
  32.000	           4.941300  
  33.000	           4.715500  
  34.000	           4.453300  
  35.000	           4.230600  
  36.000	           3.842500  
  37.000	           3.527700  
  38.000	           3.192700  
  39.000	           2.858700  
  40.000	           2.539600  
  41.000	           2.223100  
  42.000	           1.905500  
  43.000	           1.680000  
  44.000	           1.406300  
  45.000	           1.184900  
  46.000	           1.001500  
  47.000	           0.807530  
  48.000	           0.668440  
  49.000	           0.532440  
  50.000	           0.382200  
  51.000	           0.331080  
  52.000	           0.250080  
  53.000	           0.184320  
  54.000	           0.131770  
  55.000	           0.087711  
  56.000	           0.064873  
  57.000	           0.046576  
  58.000	           0.040502  
  59.000	           0.041181  
  60.000	           0.049811  
  61.000	           0.066674  
  62.000	           0.085910  
  63.000	           0.110170  
  64.000	           0.138390  
  65.000	           0.168610  
  66.000	           0.203910  
  67.000	           0.239740  
  68.000	           0.271120  
  69.000	           0.279950  
  70.000	           0.326040  
  71.000	           0.370110  
  72.000	           0.395840  
  73.000	           0.416700  
  74.000	           0.436850  
  75.000	           0.457370  
  76.000	           0.476130  
  77.000	           0.501930  
  78.000	           0.491200  
  79.000	           0.501500  
  80.000	           0.507230  
  81.000	           0.505280  
  82.000	           0.501480  
  83.000	           0.454350  
  84.000	           0.460960  
  85.000	           0.465180  
  86.000	           0.450480  
  87.000	           0.417310  
  88.000	           0.425920  
  89.000	           0.386430  
  90.000	           0.380520  
  91.000	           0.374200  
  92.000	           0.345880  
  93.000	           0.279650  
  94.000	           0.295020  
  95.000	           0.250720  
  96.000	           0.247170  
  97.000	           0.205870  
  98.000	           0.186420  
  99.000	           0.162080  
 100.000	           0.149900  
 101.000	           0.115860  
 102.000	           0.094249  
 103.000	           0.080165  
 104.000	           0.066766  
 105.000	           0.061474  
 106.000	           0.038455  
 107.000	           0.029688  
 108.000	           0.022313  
 109.000	           0.019323  
 110.000	           0.016818  
 111.000	           0.010182  
 112.000	           0.010039  
 113.000	           0.009693  
 114.000	           0.010015  
 115.000	           0.010812  
 116.000	           0.011954  
 117.000	           0.014323  
 118.000	           0.017015  
 119.000	           0.018759  
 120.000	           0.023974  
 121.000	           0.024519  
 122.000	           0.028717  
 123.000	           0.030375  
 124.000	           0.034774  
 125.000	           0.038496  
 126.000	           0.066198  
 127.000	           0.044507  
 128.000	           0.046197  
 129.000	           0.055092  
 130.000	           0.057223  
 131.000	           0.059422  
 132.000	           0.065852  
 133.000	           0.065531  
 134.000	           0.065420  
 135.000	           0.068751  
 136.000	           0.071094  
 137.000	           0.064147  
 138.000	           0.064483  
 139.000	           0.077156  
 140.000	           0.080098  
 141.000	           0.073753  
 142.000	           0.068674  
 143.000	           0.065164  
 144.000	           0.064694  
 145.000	           0.060894  
 146.000	           0.058624  
 147.000	           0.057937  
 148.000	           0.055604  
 149.000	           0.052420  
 150.000	           0.048741  
 151.000	           0.045957  
 152.000	           0.043769  
 153.000	           0.040741  
 154.000	           0.038299  
 155.000	           0.030171  
 156.000	           0.035891  
 157.000	           0.030097  
 158.000	           0.028038  
 159.000	           0.025057  
 160.000	           0.023224  
 161.000	           0.019666  
 162.000	           0.019296  
 163.000	           0.017359  
 164.000	           0.015628  
 165.000	           0.014056  
 166.000	           0.012834  
 167.000	           0.011757  
 168.000	           0.010651  
 169.000	           0.010332  
 170.000	           0.008795  
 171.000	           0.007992  
 172.000	           0.007225  
 173.000	           0.007003  
 174.000	           0.006582  
 175.000	           0.006277  
 176.000	           0.006060  
 177.000	           0.005898  
 178.000	           0.005781  
 179.000	           0.005711  
 180.000	           0.005687  
