#							
#							
#	Nuclide	A	Z	N	t1/2	Low Energy Yields [ions/sec]	Re-Accelerated Energy Yields [ions/sec]
#	CategoryFilter-StringFilter	Hidden-StringFilter	Hidden-StringFilter	Hidden-StringFilter			
	83As	83	33	44	13.4 s	6.30E+02	9.30E+01
	83Se	83	34	44	22.3 m	2.40E+02	3.80E+01
	84As	84	33	47	5.5 s	5.90E+02	8.30E+01
	84Se	84	34	46	3.3 m	6.90E+02	1.10E+02
	85As	85	33	46	2.03 s	7.00E+02	8.30E+01
	85Se-m	85	34	45	19 s	1.00E+03	1.50E+02
	85Se	85	34	48	39 s	1.00E+03	1.60E+02
	85Br	85	35	47	2.87 m	5.20E+02	8.10E+01
	86As	86	33	47	0.9 s	2.50E+02	2.10E+01
	86Se	86	34	47	15 s	1.80E+03	2.70E+02
	86Br-m	86	35	46	4.5 s	5.70E+02	7.80E+01
	86Br	86	35	45	55.5 s	5.70E+02	8.70E+01
	87Se	87	34	49	5.6 s	1.90E+03	2.70E+02
	87Br	87	35	48	55.9 s	3.00E+03	4.60E+02
	87Kr	87	36	47	1.27 h	6.00E+02	9.40E+01
	88Se	88	34	47	1.5 s	1.20E+03	1.30E+02
	88Br	88	35	47	16.4 s	4.60E+03	6.90E+02
	88Kr	88	36	50	2.84 h	2.40E+03	3.70E+02
	89Se	89	34	50	0.41 s	4.10E+02	1.70E+01
	89Br	89	35	49	4.37 s	4.10E+03	5.50E+02
	89Kr	89	36	48	3.15 m	4.70E+03	7.30E+02
	89Rb	89	37	48	15.4 m	5.40E+02	8.40E+01
	90Br	90	35	51	1.9 s	2.90E+03	3.40E+02
	90Kr	90	36	50	32.3 s	9.00E+03	1.40E+03
	90Rb-m	90	37	49	4.3 m	2.00E+03	3.10E+02
	90Rb	90	37	48	2.6 m	4.70E+02	7.30E+01
	91Br	91	35	52	0.54 s	1.10E+03	6.20E+01
	91Kr	91	36	51	8.6 s	8.50E+03	1.20E+03
	91Rb	91	37	50	58 s	6.00E+03	9.30E+02
	91Sr	91	38	49	9.5 h	4.80E+02	7.50E+01
	92Br	92	35	53	0.34 s	3.20E+02	9.90E+00
	92Kr	92	36	52	1.84 s	6.40E+03	7.30E+02
	92Rb	92	37	51	4.48 s	9.40E+03	1.30E+03
	92Sr	92	38	50	2.71 h	2.20E+03	3.40E+02
	93Kr	93	36	50	1.29 s	3.50E+03	3.60E+02
	93Rb	93	37	53	5.85 s	1.40E+04	1.90E+03
	93Sr	93	38	52	7.4 m	6.40E+03	9.90E+02
	93Y	93	39	51	10.2 h	2.90E+02	4.50E+01
	94Kr	94	36	51	0.21 s	1.30E+03	1.50E+01
	94Rb	94	37	54	2.73 s	1.20E+04	1.60E+03
	94Sr	94	38	53	1.25 m	1.50E+04	2.30E+03
	94Y	94	39	52	18.7 m	1.60E+03	2.50E+02
	95Kr	95	36	52	0.78 s	3.00E+02	2.30E+01
	95Rb	95	37	51	0.377 s	7.20E+03	2.60E+02
	95Sr	95	38	54	25.1 s	2.10E+04	3.20E+03
	95Y	95	39	53	10.3 m	5.30E+03	8.30E+02
	96Rb	96	37	53	0.199 s	3.40E+03	3.30E+01
	96Sr	96	38	52	1.06 s	2.40E+04	2.20E+03
	96Y-m	96	39	55	9.6 s	1.30E+04	1.90E+03
	96Y	96	39	54	6.2 s	1.50E+03	2.10E+02
	97Rb	97	37	54	0.169 s	9.30E+02	5.40E+00
	97Sr	97	38	53	0.42 s	1.60E+04	6.80E+02
	97Y	97	39	52	3.76 s	2.30E+04	3.20E+03
	97Zr	97	40	56	16.8 h	4.50E+03	7.00E+02
	98Rb	98	37	56	0.107 s	2.20E+02	3.40E+01
	98Sr	98	38	55	0.65 s	1.00E+04	6.60E+02
	98Y-m	98	39	54	2.1 s	1.70E+04	1.10E+03
	98Y	98	39	53	0.59 s	1.70E+04	1.10E+03
	98Zr	98	40	53	30.7 s	1.60E+04	2.40E+03
	98Nb	98	41	56	2.9 s	4.40E+02	5.60E+01
	99Sr	99	38	56	0.269 s	3.60E+03	7.20E+01
