Isotope	A	Z	N	Rate [pps]	Energy [MeV/u]	Purity [%]	Designation	Type		Comments
CategoryFilter	Hidden-StringFilter	Hidden-StringFilter	Hidden-StringFilter		CategoryFilter		CategoryFilter			
6He	6	2	4	1.00E+03	6	5	Expected	-p	3	
6He	6	2	4	1.00E+04	10	5	Expected	-p	3	
6He	6	2	4	2.00E+04	14	5	Expected	-p	3	
8Li	8	3	5	5.00E+04	6	60	Available	+n	1	
8Li	8	3	5	5.00E+04	10	90	Available	+n	1	
8Li	8	3	5	1.00E+04	14	90	Available	+n	1	
7Be	7	4	3	1.00E+04	6	20	Available	+p	2	
7Be	7	4	3	5.00E+03	10	40	Available	+p	2	
7Be	7	4	3	1.00E+03	14	40	Available	+p	2	
10Be	10	4	6	1.00E+05	6	20	Available	+n	1	
10Be	10	4	6	1.00E+05	10	80	Available	+n	1	
10Be	10	4	6	2.00E+04	14	80	Available	+n	1	
11Be	11	4	7	5.00E+02	6	10	Expected	-2p	5	need to test with thick target &/or +2n
11Be	11	4	7	1.00E+03	10	10	Available	-2p	5	
11Be	11	4	7	2.00E+03	14	10	Available	-2p	5	
12Be	12	4	8	5.00E+02	6	10	Expected	-2p	5	need to test with thick target
12Be	12	4	8	1.00E+03	10	10	Available	-2p	5	
12Be	12	4	8	2.00E+03	14	10	Available	-2p	5	
8B	8	5	3	0.00E+00	6	0	None	-2n	6	
8B	8	5	3	0.00E+00	10	0	None	-2n	6	
8B	8	5	3	0.00E+00	14	0	None	-2n	6	
9B	9	5	4	1.00E+03	6	5	Expected	-n		
9B	9	5	4	5.00E+03	10	10	Expected	-n		
9B	9	5	4	1.00E+04	14	10	Expected	-n		
12B	12	5	7	2.00E+06	6	50	Available	+n	1	
12B	12	5	7	1.00E+06	10	80	Available	+n	1	
12B	12	5	7	2.00E+05	14	80	Available	+n	1	
13B	13	5	8	5.00E+03	6	10	Available	-p	3	
13B	13	5	8	2.00E+04	10	20	Available	-p	3	
13B	13	5	8	5.00E+04	14	20	Available	-p	3	
10C	10	6	4	0.00E+00	6	0	None	pn	7	expected after (p,n) tests
10C	10	6	4	0.00E+00	10	0	None	pn	7	expected after (p,n) tests
10C	10	6	4	0.00E+00	14	0	None	pn	7	expected after (p,n) tests
11C	11	6	5	1.00E+06	6	20	Available	+p	2	
11C	11	6	5	5.00E+05	10	40	Available	+p	2	
11C	11	6	5	1.00E+05	14	40	Available	+p	2	
15C	15	6	9	2.00E+06	6	40	Available	+n	1	
15C	15	6	9	1.00E+06	10	60	Available	+n	1	
15C	15	6	9	5.00E+05	14	60	Available	+n	1	
16C	16	6	10	5.00E+02	6	10	Expected	-2p	5	
16C	16	6	10	1.00E+03	10	20	Available	-2p	5	
16C	16	6	10	2.00E+03	14	20	Available	-2p	5	
12N	12	7	5	0.00E+00	6	0	None	pn	7	expected after (p,n) tests
12N	12	7	5	0.00E+00	10	0	None	pn	7	expected after (p,n) tests
12N	12	7	5	0.00E+00	14	0	None	pn	7	expected after (p,n) tests
13N	13	7	6	2.00E+06	6	20	Available	+p	2	
13N	13	7	6	1.00E+06	10	40	Available	+p	2	
13N	13	7	6	2.00E+05	14	40	Available	+p	2	
16Nm/g	16	7	9	2.00E+06	6	20	Available	+n	1	
16Nm/g	16	7	9	1.00E+06	10	40	Available	+n	1	
16Nm/g	16	7	9	2.00E+05	14	40	Available	+n	1	
17N	17	7	10	5.00E+03	6	10	Expected	-p	3	
17N	17	7	10	2.00E+04	10	20	Available	-p	3	
17N	17	7	10	5.00E+04	14	20	Available	-p	3	
14O	14	8	6	1.00E+03	6	20	Available	+2p	-	
14O	14	8	6	1.00E+04	10	20	Expected	pn	7	
14O	14	8	6	1.00E+04	14	20	Expected	pn	7	
15O	15	8	7	1.00E+06	6	20	Available	+p	2	
15O	15	8	7	1.00E+06	10	50	Available	+p	2	
15O	15	8	7	2.00E+05	14	50	Available	+p	2	
19O	19	8	11	1.00E+06	6	20	Available	+n	1	
19O	19	8	11	1.00E+06	10	40	Available	+n	1	
19O	19	8	11	2.00E+05	14	40	Available	+n	1	
20O	20	8	12	5.00E+02	6	5	Expected	-2p	5	
20O	20	8	12	1.00E+03	10	10	Available	-2p	5	
20O	20	8	12	2.00E+03	14	10	Available	-2p	5	
17F	17	9	8	1.00E+06	6	20	Available	+p	2	
17F	17	9	8	1.00E+06	10	50	Available	+p	2	
17F	17	9	8	2.00E+05	14	50	Available	+p	2	
18Fm/g	18	9	9	1.00E+06	6	20	Available	+p	2	
18Fm/g	18	9	9	1.00E+06	10	50	Available	+p	2	
18Fm/g	18	9	9	2.00E+05	14	50	Available	+p	2	
20F	20	9	11	1.00E+06	6	20	Available	+n	1	
20F	20	9	11	1.00E+06	10	40	Available	+n	1	
20F	20	9	11	2.00E+05	14	40	Available	+n	1	
21F	21	9	12	5.00E+03	6	10	Expected	-p	3	
21F	21	9	12	2.00E+04	10	20	Available	-p	3	
21F	21	9	12	5.00E+04	14	20	Available	-p	3	
18Ne	18	10	8	1.00E+03	6	20	Available	+2p	6	better w -2n
18Ne	18	10	8	1.00E+03	10	20	Available	+2p	6	
18Ne	18	10	8	0.00E+00	14	0	None	+2p	6	
19Ne	19	10	9	1.00E+03	6	5	Expected	-n	4	
19Ne	19	10	9	5.00E+03	10	10	Expected	-n	4	
19Ne	19	10	9	1.00E+04	14	10	Expected	-n	4	
23Ne	23	10	13	2.00E+05	6	15	Available	+n	1	
23Ne	23	10	13	2.00E+05	10	30	Available	+n	1	
23Ne	23	10	13	1.00E+05	14	30	Available	+n	1	
24Ne	24	10	14	5.00E+02	6	5	Expected	-2p	5	
24Ne	24	10	14	1.00E+03	10	10	Available	-2p	5	
24Ne	24	10	14	2.00E+03	14	10	Available	-2p	5	
20Na	20	11	9	0.00E+00	6	0	None	pn	7	
20Na	20	11	9	0.00E+00	10	0	None	pn	7	
20Na	20	11	9	0.00E+00	14	0	None	pn	7	
21Na	21	11	10	5.00E+05	6	10	Available	+p	2	
21Na	21	11	10	5.00E+05	10	20	Available	+p	2	
21Na	21	11	10	2.00E+05	14	20	Available	+p	2	
22Nam/g	22	11	11	5.00E+05	6	10	Available	+p	2	
22Nam/g	22	11	11	5.00E+05	10	20	Available	+p	2	
22Nam/g	22	11	11	2.00E+05	14	20	Available	+p	2	
24Nam/g	24	11	13	1.00E+05	6	10	Available	+n	1	
24Nam/g	24	11	13	1.00E+05	10	20	Available	+n	1	
24Nam/g	24	11	13	5.00E+04	14	20	Available	+n	1	
25Na	25	11	14	5.00E+03	6	10	Expected	-p	3	
25Na	25	11	14	2.00E+04	10	20	Available	-p	3	
25Na	25	11	14	5.00E+04	14	20	Available	-p	3	
22Mg	22	12	10	1.00E+03	6	20	Available	+2p		
22Mg	22	12	10	1.00E+03	10	20	Available	+2p		
22Mg	22	12	10	0.00E+00	14	0	None	+2p		
23Mg	23	12	11	1.00E+03	6	5	Expected	-n	4	
23Mg	23	12	11	5.00E+03	10	10	Expected	-n	4	
23Mg	23	12	11	1.00E+04	14	10	Expected	-n	4	
27Mg	27	12	15	1.00E+05	6	10	Available	+n	1	
27Mg	27	12	15	1.00E+05	10	20	Available	+n	1	
27Mg	27	12	15	5.00E+04	14	20	Available	+n	1	
