Isotope	A	Z	N	Rate [pps]	Energy [MeV/u]	Purity [%]		Type												
CategoryFilter	Hidden-StringFilter	Hidden-StringFilter	Hidden-StringFilter		CategoryFilter															
6He	6	2	4	1.00E+03	6	5		-p	3											
6He	6	2	4	1.00E+04	10	5		-p	3											
6He	6	2	4	2.00E+04	14	5		-p	3											
8Li	8	3	5	5.00E+04	6	60		+n	1											
8Li*	8	3	5	5.00E+04	10	90		+n	1											
8Li	8	3	5	1.00E+04	14	90		+n	1											
7Be	7	4	3	5.00E+03	6	20		+p	2											
7Be	7	4	3	2.00E+03	10	40		+p	2											
7Be	7	4	3	2.00E+03	14	40		+p	2											
10Be	10	4	6	1.00E+05	6	20		+n	1											
10Be	10	4	6	1.00E+05	10	80		+n	1											
10Be	10	4	6	2.00E+04	14	80		+n	1											
11Be	11	4	7	5.00E+02	6	5		-2p	5											
11Be	11	4	7	2.00E+03	10	5		-2p	5											
11Be	11	4	7	5.00E+03	14	5		-2p	5											
12Be	12	4	8	5.00E+02	6	5		-2p	5											
12Be	12	4	8	1.00E+03	10	5		-2p	5											
12Be	12	4	8	2.00E+03	14	5		-2p	5											
8B	8	5	3	5.00E+02	6	20		-2n	6											
8B	8	5	3	5.00E+02	10	20		-2n	6											
8B	8	5	3	5.00E+02	14	20		-2n	6											
12B	12	5	7	4.00E+06	6	50		+n	1											
12B*	12	5	7	2.00E+06	10	80		+n	1											
12B	12	5	7	1.00E+06	14	80		+n	1											
13B	13	5	8	5.00E+03	6	10		-p	3											
13B	13	5	8	5.00E+04	10	20		-p	3											
13B	13	5	8	2.00E+05	14	20		-p	3											
10C	10	6	4	1.00E+04	6	10		pn	7			10	6	4	5.00E+04	6	0	Expected	pn	7
10C	10	6	4	5.00E+04	10	20		pn	7			10	6	4	1.00E+05	10	0	Available	pn	7
10C	10	6	4	5.00E+04	14	20		pn	7			10	6	4	1.00E+05	14	0	Available	pn	7
11C	11	6	5	1.00E+06	6	20		+p	2											
11C	11	6	5	5.00E+05	10	40		+p	2											
11C	11	6	5	2.00E+05	14	40		+p	2											
15C	15	6	9	4.00E+06	6	40		+n	1											
15C	15	6	9	2.00E+06	10	60		+n	1											
15C	15	6	9	5.00E+05	14	60		+n	1											
16C	16	6	10	5.00E+02	6	10		-2p	5											
16C	16	6	10	2.00E+03	10	20		-2p	5											
16C*	16	6	10	5.00E+03	14	20		-2p	5											
12N	12	7	5	0.00E+00	6	0		pn	7											
12N	12	7	5	1.00E+03	10	20		pn	7											
12N	12	7	5	1.00E+04	14	20		pn	7											
13N	13	7	6	2.00E+06	6	20		+p	2											
13N	13	7	6	2.00E+06	10	40		+p	2											
13N	13	7	6	2.00E+05	14	40		+p	2											
16Nm/g	16	7	9	4.00E+06	6	20		+n	1											
16Nm/g	16	7	9	2.00E+06	10	40		+n	1											
16Nm/g*	16	7	9	5.00E+05	14	40		+n	1											
17N	17	7	10	5.00E+03	6	10		-p	3											
17N	17	7	10	1.00E+05	10	20		-p	3											
17N	17	7	10	2.00E+05	14	20		-p	3											
14O*	14	8	6	1.00E+03	6	20		+2p	-											
14O	14	8	6	1.00E+05	10	20		pn	7											
14O	14	8	6	1.00E+05	14	20		pn	7											
15O	15	8	7	2.00E+06	6	20		+p	2											
15O	15	8	7	2.00E+06	10	50		+p	2											
15O	15	8	7	4.00E+05	14	50		+p	2											
19O	19	8	11	4.00E+06	6	20		+n	1											
19O	19	8	11	2.00E+06	10	40		+n	1											
19O	19	8	11	5.00E+05	14	40		+n	1											
20O	20	8	12	5.00E+02	6	20		-2p	5											
20O	20	8	12	2.00E+03	10	20		-2p	5											
20O	20	8	12	5.00E+03	14	20		-2p	5											
17F	17	9	8	2.00E+06	6	20		+p	2											
17F	17	9	8	2.00E+06	10	50		+p	2											
17F	17	9	8	4.00E+05	14	50		+p	2											
18Fm/g	18	9	9	2.00E+06	6	20		+p	2											
18Fm/g	18	9	9	2.00E+06	10	50		+p	2											
18Fm/g	18	9	9	4.00E+05	14	50		+p	2											
20F	20	9	11	2.00E+06	6	20		+n	1											
20F	20	9	11	2.00E+06	10	40		+n	1											
20F	20	9	11	5.00E+05	14	40		+n	1											
21F	21	9	12	5.00E+03	6	10		-p	3											
21F	21	9	12	1.00E+05	10	20		-p	3											
21F	21	9	12	2.00E+05	14	20		-p	3											
18Ne	18	10	8	2.00E+03	6	20		+2p	6											
18Ne	18	10	8	1.00E+03	10	20		+2p	6											
18Ne	18	10	8	1.00E+03	14	0		+2p	6											
19Ne	19	10	9	5.00E+05	6	5		pn	7											
19Ne	19	10	9	1.00E+06	10	10		pn	7											
19Ne	19	10	9	1.00E+06	14	10		pn	7											
23Ne	23	10	13	1.00E+06	6	15		+n	1											
23Ne	23	10	13	1.00E+06	10	30		+n	1											
23Ne	23	10	13	5.00E+05	14	30		+n	1											
24Ne	24	10	14	1.00E+03	6	1		-2p	5											
24Ne	24	10	14	1.00E+03	10	1		-2p	5											
24Ne	24	10	14	2.00E+03	14	1		-2p	5											
20Na	20	11	9	0.00E+00	6	0		pn	7											
20Na	20	11	9	1.00E+04	10	10		pn	7											
20Na	20	11	9	5.00E+04	14	10		pn	7											
21Na	21	11	10	5.00E+05	6	10		+p	2											
21Na	21	11	10	5.00E+05	10	20		+p	2											
21Na	21	11	10	2.00E+05	14	20		+p	2											
22Nam/g	22	11	11	5.00E+05	6	10		+p	2											
22Nam/g	22	11	11	5.00E+05	10	20		+p	2											
22Nam/g	22	11	11	2.00E+05	14	20		+p	2											
24Nam/g	24	11	13	2.00E+05	6	10		+n	1											
24Nam/g	24	11	13	2.00E+05	10	20		+n	1											
24Nam/g	24	11	13	1.00E+05	14	20		+n	1											
25Na	25	11	14	5.00E+03	6	10		-p	3											
25Na	25	11	14	4.00E+04	10	20		-p	3											
25Na	25	11	14	1.00E+05	14	20		-p	3											
22Mg	22	12	10	5.00E+02	6	1		+2p												
22Mg	22	12	10	1.00E+03	10	1		+2p												
22Mg	22	12	10	5.00E+02	14	0		+2p												
23Mg	23	12	11	5.00E+03	6	5		-n	4											
23Mg	23	12	11	1.00E+04	10	10		-n	4											
23Mg	23	12	11	2.00E+04	14	10		-n	4											
27Mg	27	12	15	5.00E+05	6	10		+n	1											
27Mg	27	12	15	5.00E+05	10	20		+n	1											
27Mg	27	12	15	5.00E+05	14	20		+n	1											
28Mg	28	12	16	1.00E+03	6	1		-2p	5											
28Mg	28	12	16	1.00E+03	10	1		-2p	5											
28Mg	28	12	16	2.00E+03	14	1		-2p	5											
24Al	24	13	11	0.00E+00	6	0		pn	7											
24Al	24	13	11	5.00E+02	10	10		pn	7											
24Al	24	13	11	5.00E+03	14	10		pn	7											
25Al	25	13	12	5.00E+04	6	10		+p	2											
25Al	25	13	12	2.00E+05	10	20		+p	2											
25Al	25	13	12	2.00E+05	14	20		+p	2											
26Alm/g	26	13	13	5.00E+04	6	10		+p	2											
26Alm/g	26	13	13	5.00E+05	10	20		+p	2											
26Alm/g	26	13	13	5.00E+05	14	20		+p	2											
28Al	28	13	15	1.00E+05	6	10		+n	1											
28Al	28	13	15	1.00E+05	10	20		+n	1											
28Al	28	13	15	5.00E+04	14	20		+n	1											
29Al	29	13	16	5.00E+03	6	10		-p	3											
29Al*	29	13	16	2.00E+04	10	20		-p	3											
29Al	29	13	16	1.00E+05	14	20		-p	3											
26Si	26	14	12	1.00E+03	6	5		+2p												
26Si	26	14	12	1.00E+03	10	5		+2p												
26Si	26	14	12	0.00E+00	14	0		+2p												
27Si	27	14	13	5.00E+03	6	5		-n	7											
27Si	27	14	13	1.00E+04	10	10		-n	7											
27Si	27	14	13	2.00E+04	14	10		-n	7											
31Si	31	14	17	1.00E+05	6	5		+n	1											
31Si*	31	14	17	4.00E+05	10	5		+n	1											
31Si	31	14	17	2.00E+05	14	10		+n	1											
32Si	32	14	18	5.00E+02	6	1		-2p	5											
32Si	32	14	18	5.00E+03	10	1		-2p	5											
32Si	32	14	18	1.00E+04	14	1		-2p	5											
34Si	34	14	20	2.50E+02	6	1		-2p	5											
34Si	34	14	20	2.00E+03	10	1		-2p	5											
34Si	34	14	20	4.00E+03	14	1		-2p	5											
28P	28	15	13	0.00E+00	6	0		pn	7											
28P	28	15	13	5.00E+02	10	10		pn	7											
28P	28	15	13	5.00E+03	14	10		pn	7											
29P	29	15	14	5.00E+04	6	5		+p	2											
29P	29	15	14	1.00E+05	10	10		+p	2											
29P	29	15	14	5.00E+04	14	10		+p	2											
30P	30	15	15	5.00E+04	6	5		+p	2											
30P*	30	15	15	1.00E+05	10	10		+p	2											
30P	30	15	15	5.00E+04	14	10		+p	2											
32P	32	15	17	5.00E+04	6	5		+n	1											
32P	32	15	17	5.00E+04	10	5		+n	1											
32P	32	15	17	2.00E+04	14	10		+n	1											
33P	33	15	18	5.00E+03	6	5		-p	3											
33P	33	15	18	5.00E+04	10	5		-p	3											
33P	33	15	18	1.00E+05	14	5		-p	3											
34P	34	15	19	5.00E+03	6	5		-p	3											
34P	34	15	19	2.00E+04	10	5		-p	3											
34P	34	15	19	5.00E+04	14	5		-p	3											
35P	35	15	20	5.00E+03	6	5		-p	3											
35P	35	15	20	2.00E+04	10	5		-p	3											
35P	35	15	20	5.00E+04	14	5		-p	3											
30S	30	16	14	6.00E+02	6	20		+2p												
30S	30	16	14	6.00E+02	10	20		+2p												
30S	30	16	14	0.00E+00	14	0		+2p												
31S	31	16	15	1.00E+03	6	5		-n	7											
31S	31	16	15	5.00E+04	10	10		-n	7											
31S	31	16	15	5.00E+04	14	10		-n	7											
35S	35	16	19	4.00E+04	6	5		+n	1											
35S	35	16	19	8.00E+04	10	5		+n	1											
35S	35	16	19	1.00E+05	14	5		+n	1											
37S	37	16	21	2.00E+04	6	5		+n	1											
37S	37	16	21	5.00E+04	10	5		+n	1											
37S	37	16	21	2.00E+04	14	5		+n	1											
38S	38	16	22	1.00E+03	6	5		-2p	5											
