#Series Time Value
Total 11:56:28 490.689636
Total 11:56:30 522.004272
Total 11:56:32 505.896881
Total 11:56:34 393.558563
Total 11:56:36 508.263123
Total 11:56:38 415.68866
Total 11:56:40 483.726196
Total 11:56:42 504.828247
Total 11:56:44 439.756805
Total 11:56:46 597.034119
Total 11:56:48 472.731262
Total 11:56:50 541.841064
Total 11:56:52 569.952148
Total 11:56:54 492.223846
Total 11:56:56 519.964539
Total 11:56:58 503.397308
Total 11:57:00 473.478851
Total 11:57:02 492.025391
Total 11:57:04 447.253265
Total 11:57:06 503.193054
Total 11:57:08 455.409729
Total 11:57:10 470.776337
Total 11:57:12 525.551147
Total 11:57:14 520.181824
Total 11:57:16 131.141327
Total 11:57:18 0
Total 11:57:20 0
Total 11:57:22 0
Total 11:57:24 48.907829
Total 11:57:26 41.737373
Total 11:57:28 49.816456
Total 11:57:30 41.98901
Total 11:57:32 47.534866
Total 11:57:34 51.262707
Total 11:57:36 32.667633
Total 11:57:38 44.440334
Total 11:57:40 35.179642
Total 11:57:42 37.321022
Total 11:57:44 40.718307
Total 11:57:46 37.173832
Total 11:57:48 39.436699
Total 11:57:50 51.310478
Total 11:57:52 45.691559
Total 11:57:54 45.04953
Total 11:57:56 47.211739
Total 11:57:58 40.664574
Total 11:58:00 41.689217
Total 11:58:02 44.1707
Total 11:58:04 24.044624
Total 11:58:06 38.850395
Total 11:58:08 38.103634
Total 11:58:10 26.340023
Total 11:58:12 43.92207
Total 11:58:14 16.544727
Total 11:58:16 23.64772
Total 11:58:18 21.972912
Total 11:58:20 14.521743
Total 11:58:22 13.14306
Total 11:58:24 9.843461
Total 11:58:26 12.010077
Total 11:58:28 14.676691
Total 11:58:30 3.97932
Total 11:58:32 13.014201
Total 11:58:34 8.641271
Total 11:58:36 3.243141
Total 11:58:38 5.465729
Total 11:58:40 2.066596
Total 11:58:42 5.700416
Total 11:58:44 4.494998
Total 11:58:46 4.633125
Total 11:58:48 4.006406
Total 11:58:50 6.743885
Total 11:58:52 6.702458
Total 11:58:54 7.045195
Total 11:58:56 4.445921
Total 11:58:58 5.860468
Total 11:59:00 5.278538
Total 11:59:02 12.738437
Total 11:59:04 7.412706
Total 11:59:06 3.529529
Total 11:59:08 8.181985
Total 11:59:10 5.722012
Total 11:59:12 5.05899
Total 11:59:14 6.010518
Total 11:59:16 10.554166
Total 11:59:18 4.972659
Total 11:59:20 5.654615
Total 11:59:22 6.599193
Total 11:59:24 0
Total 11:59:26 0
Total 11:59:28 0
Total 11:59:30 0
Total 11:59:32 7.01087
Total 11:59:34 3.439882
Total 11:59:36 7.824925
Total 11:59:38 11.224676
Total 11:59:40 5.663101
Total 11:59:42 8.157872
Total 11:59:44 12.733571
Total 11:59:46 14.817994
Total 11:59:48 12.650761
Total 11:59:50 21.631626
Total 11:59:52 20.366116
Total 11:59:54 20.483326
Total 11:59:56 27.787045
Total 11:59:58 31.0327
Total 12:00:00 47.125614
Total 12:00:02 32.165611
Total 12:00:04 38.92762
Total 12:00:06 41.095455
Total 12:00:08 47.717873
Total 12:00:10 49.286221
Total 12:00:12 44.238491
Total 12:00:14 52.417236
Total 12:00:16 72.562286
Total 12:00:18 54.596107
Total 12:00:20 77.81868
Total 12:00:22 66.209389
Total 12:00:24 85.12088
Total 12:00:26 74.79644
Total 12:00:28 59.48468
Total 12:00:30 81.599251
Total 12:00:32 61.778614
Total 12:00:34 62.961864
Total 12:00:36 50.138428
Total 12:00:38 62.097927
Total 12:00:40 61.623596
Total 12:00:42 40.915691
Total 12:00:44 50.646839
Total 12:00:46 44.785835
Total 12:00:48 34.441025
Total 12:00:50 37.513947
Total 12:00:52 26.827667
Total 12:00:54 26.254284
Total 12:00:56 24.787649
Total 12:00:58 28.98382
Total 12:01:00 21.521399
Total 12:01:02 14.831803
Total 12:01:04 27.003387
Total 12:01:06 13.592946
Total 12:01:08 16.509739
Total 12:01:10 7.945112
Total 12:01:12 7.445933
Total 12:01:14 13.752687
Total 12:01:16 13.63855
Total 12:01:18 8.073065
Total 12:01:20 8.043711
Total 12:01:22 5.369369
Total 12:01:24 6.042614
Total 12:01:26 4.159494
Total 12:01:28 3.753006
Total 12:01:30 3.695427
Total 12:01:32 0.689043
Total 12:01:34 6.760353
Total 12:01:36 2.373943
Total 12:01:38 2.425746
Total 12:01:40 5.369296
Total 12:01:42 0
Total 12:01:44 0
Total 12:01:46 0.804524
Total 12:01:48 2.061736
Total 12:01:50 16.832088
Total 12:01:52 14.915343
Total 12:01:54 6.524993
Total 12:01:56 15.283195
Total 12:01:58 18.653294
Total 12:02:00 20.600311
Total 12:02:02 18.291935
Total 12:02:04 24.487328
Total 12:02:06 20.332775
Total 12:02:08 19.281649
Total 12:02:10 24.068012
Total 12:02:12 26.760307
Total 12:02:14 38.05019
Total 12:02:16 23.925243
Total 12:02:18 26.529623
Total 12:02:20 37.009499
Total 12:02:22 31.105492
Total 12:02:24 45.988075
Total 12:02:26 24.732725
Total 12:02:28 34.705173
Total 12:02:30 42.037846
Total 12:02:32 46.978806
Total 12:02:34 51.809044
Total 12:02:36 43.516975
Total 12:02:38 66.094505
Total 12:02:40 59.219105
Total 12:02:42 60.213348
Total 12:02:44 87.541077
Total 12:02:46 63.897648
Total 12:02:48 82.084785
Total 12:02:50 65.866295
Total 12:02:52 83.63694
Total 12:02:54 90.666748
Total 12:02:56 76.416809
Total 12:02:58 79.709602
Total 12:03:00 106.542351
Total 12:03:02 93.459229
Total 12:03:04 103.857979
Total 12:03:06 107.030785
